<<<<<<< HEAD
939 5436 124
940 5436 124
941 5436 124
942 5436 124
943 5436 124
944 5436 124
945 5436 124
946 5436 124
947 5436 124
948 5436 124
949 5436 124
950 5436 124
951 5436 124
952 5436 124
953 5436 124
954 5436 124
955 5436 124
956 5445 125
957 5445 125
958 5445 125
959 5445 125
960 5445 125
961 5445 125
962 5445 125
963 5445 125
964 5445 125
965 5445 125
966 5445 125
967 5445 125
968 5445 125
969 5445 125
970 5445 125
971 5445 125
972 5445 125
973 5436 124
974 5436 124
975 5445 125
976 5436 124
977 5445 125
978 5445 125
979 5445 125
980 5445 125
981 5445 125
982 5445 125
983 5445 125
984 5445 125
985 5445 125
986 5445 125
987 5454 126
988 5454 126
989 5454 126
990 5454 126
991 5454 126
992 5445 125
993 5445 125
994 5445 125
995 5445 125
996 5445 125
997 5445 125
998 5445 125
999 5445 125
1000 5445 125
1001 5445 125
1002 5445 125
1003 5445 125
1004 5445 125
1005 5445 125
1006 5445 125
1007 5445 125
1008 5445 125
1009 5445 125
1010 5445 125
1011 5445 125
1012 5445 125
1013 5445 125
1014 5445 125
1015 5445 125
1016 5445 125
1017 5445 125
1018 5445 125
1019 5445 125
1020 5445 125
1021 5445 125
1022 5445 125
1023 5445 125
1024 5445 125
1025 5445 125
1026 5436 124
1027 5436 124
1028 5436 124
1029 5436 124
1030 5436 124
1031 5436 124
1032 5436 124
1033 5436 124
1034 5436 124
1035 5436 124
1036 5436 124
1037 5436 124
1038 5436 124
1039 5436 124
1040 5436 124
1041 5436 124
1042 5436 124
1043 5436 124
1044 5436 124
1045 5436 124
1046 5436 124
1047 5436 124
1048 5436 124
1049 5436 124
1050 5436 124
1051 5436 124
1052 5436 124
1053 5436 124
1054 5436 124
1055 5427 123
1056 5427 123
1057 5427 123
1058 5427 123
1059 5427 123
1060 5418 122
1061 5418 122
1062 5418 122
1063 5418 122
1064 5418 122
1065 5418 122
1066 5418 122
1067 5418 122
1068 5418 122
1069 5418 122
1070 5418 122
1071 5409 121
1072 5409 121
1073 5409 121
1074 5409 121
1075 5409 121
1076 5409 121
1077 5409 121
1078 5409 121
1079 5409 121
1080 5409 121
1081 5409 121
1082 5409 121
1083 5409 121
1086 5400 120
1087 5400 120
1088 5400 120
1089 5400 120
1090 5400 120
1091 5400 120
1092 5400 120
857 6050 125
858 6050 125
859 6060 126
860 6060 126
861 6060 126
862 6060 126
863 6060 126
864 6060 126
865 6060 126
866 6060 126
867 6070 127
868 6070 127
869 6070 127
870 6070 127
871 6070 127
872 6070 127
873 6070 127
874 6070 127
875 6080 128
876 6080 128
877 6080 128
878 6080 128
879 6080 128
880 6080 128
881 6080 128
882 6080 128
883 6080 128
884 6080 128
885 6090 129
886 6090 129
887 6090 129
888 6090 129
889 6090 129
890 6090 129
891 6090 129
892 6090 129
893 6100 130
894 6100 130
895 6100 130
896 6100 130
897 6100 130
898 6100 130
899 6100 130
900 6100 130
901 6100 130
902 6100 130
903 6100 130
904 6100 130
905 6100 130
906 6100 130
907 6100 130
908 6100 130
909 6100 130
910 6100 130
911 6110 131
912 6110 131
913 6110 131
914 6110 131
915 6110 131
916 6110 131
917 6110 131
918 6110 131
919 6110 131
920 6110 131
921 6110 131
922 6110 131
923 6110 131
924 6110 131
925 6110 131
926 6120 132
927 6120 132
928 6120 132
929 6120 132
930 5830 103
931 5750 95
932 5750 95
933 5750 95
934 5840 104
935 5970 117
936 6120 132
937 6120 132
938 6120 132
939 6120 132
940 6120 132
941 6120 132
942 6120 132
943 6120 132
944 6120 132
945 6120 132
946 6120 132
947 6120 132
948 6120 132
949 6120 132
950 6120 132
951 6120 132
952 6120 132
953 6120 132
954 6120 132
955 6120 132
956 6120 132
957 6120 132
958 6120 132
959 6120 132
960 6120 132
961 6120 132
962 6120 132
963 6120 132
964 6120 132
965 6120 132
966 6120 132
967 6120 132
968 6120 132
969 6120 132
970 6130 133
971 6130 133
972 6130 133
973 6130 133
974 6120 132
975 6120 132
976 6120 132
977 6120 132
978 6130 133
979 6130 133
980 6130 133
981 6130 133
982 6130 133
983 6130 133
984 6130 133
985 6130 133
986 6130 133
987 6130 133
988 6130 133
989 6120 132
990 6120 132
991 6120 132
992 6120 132
993 6120 132
994 6120 132
995 6120 132
996 6130 133
997 6130 133
998 6120 132
999 6120 132
1000 6110 131
1001 6110 131
1002 6120 132
1003 6120 132
1004 6120 132
1005 6120 132
1006 6120 132
1007 6120 132
1008 6120 132
1009 6120 132
1010 6120 132
1011 6120 132
1012 6120 132
1013 6120 132
1014 6120 132
1015 6120 132
1016 6120 132
1017 6120 132
1018 6120 132
1019 6120 132
1020 6120 132
1021 6120 132
1022 6120 132
1023 6120 132
1024 6120 132
1025 6120 132
1026 6110 131
1027 6110 131
1028 6110 131
1029 6110 131
1030 6110 131
1031 6110 131
1032 5990 119
1033 6110 131
1034 6110 131
1035 6110 131
1036 6110 131
1037 6110 131
1038 6110 131
1039 6110 131
1040 6110 131
1041 6110 131
1042 6110 131
1043 6110 131
1044 6110 131
1045 6110 131
1046 6110 131
1047 6110 131
1048 6110 131
1049 6110 131
1050 6110 131
1051 6110 131
1052 6100 130
1053 6100 130
1054 6100 130
1055 6100 130
1056 6100 130
1057 6100 130
1058 6100 130
1059 6100 130
1060 6100 130
1061 6100 130
1062 6100 130
1063 6100 130
1064 6100 130
1065 6100 130
1066 6100 130
1067 6100 130
1068 6090 129
1069 6090 129
1070 6090 129
1071 6100 130
1072 6100 130
1073 6090 129
1074 6090 129
1075 6090 129
1076 6090 129
1077 6090 129
1078 6090 129
1079 6090 129
1080 6090 129
1081 6090 129
1082 6090 129
1083 6080 128
1084 6080 128
1085 6080 128
1086 6080 128
1087 6080 128
1088 6080 128
1089 6080 128
1090 6080 128
1091 6080 128
1092 6080 128
1093 6080 128
1094 6080 128
1095 6080 128
1096 6080 128
1097 6080 128
1098 6080 128
1099 6080 128
1100 6080 128
1101 6080 128
1102 6070 127
1103 6070 127
1104 6070 127
1105 6060 126
1106 6060 126
1107 6060 126
1108 6060 126
1109 6060 126
1110 6060 126
1111 6060 126
1112 6060 126
1113 6060 126
1114 6060 126
1115 6060 126
1116 6060 126
1117 6060 126
1118 6060 126
1119 6060 126
1120 6060 126
1121 6060 126
1122 6050 125
1123 6050 125
1124 6050 125
1125 6050 125
1126 6050 125
1127 6050 125
1128 6040 124
1129 6040 124
1130 6040 124
1131 6040 124
1132 6040 124
1133 6040 124
1134 6040 124
1135 6040 124
1136 6040 124
1137 6040 124
1138 6030 123
1139 6030 123
1140 6020 122
1141 6020 122
1142 6020 122
1143 6020 122
1144 6010 121
1145 6010 121
1146 6010 121
1147 6010 121
1148 6010 121
1149 6010 121
1150 6020 122
1151 6020 122
1152 6020 122
1153 6010 121
1154 6010 121
1157 6010 121
1158 6000 120
1159 6000 120
1160 6000 120
1161 6000 120
1162 6000 120
815 6688 128
816 6677 127
824 6699 129
825 6699 129
834 6721 131
835 6721 131
836 6721 131
837 6721 131
838 6721 131
839 6721 131
840 6732 132
841 6732 132
842 6732 132
843 6732 132
844 6732 132
845 6732 132
846 6732 132
847 6732 132
848 6732 132
849 6743 133
850 6743 133
851 6743 133
852 6743 133
853 6743 133
854 6743 133
855 6743 133
856 6743 133
857 6743 133
858 6743 133
859 6743 133
860 6743 133
861 6743 133
862 6743 133
863 6743 133
864 6754 134
865 6754 134
866 6754 134
867 6754 134
868 6754 134
869 6754 134
870 6765 135
871 6765 135
872 6765 135
873 6765 135
874 6765 135
875 6765 135
876 6765 135
877 6765 135
878 6765 135
879 6776 136
880 6776 136
881 6776 136
882 6776 136
883 6776 136
884 6776 136
885 6776 136
886 6776 136
887 6776 136
888 6776 136
889 6776 136
890 6776 136
891 6776 136
892 6776 136
893 6776 136
894 6776 136
895 6776 136
896 6776 136
897 6776 136
898 6776 136
899 6776 136
900 6776 136
901 6776 136
902 6787 137
903 6787 137
904 6787 137
905 6787 137
906 6776 136
907 6787 137
908 6787 137
909 6787 137
910 6787 137
911 6787 137
912 6787 137
913 6787 137
914 6787 137
915 6787 137
916 6787 137
917 6787 137
918 6787 137
919 6787 137
920 6787 137
921 6787 137
922 6787 137
923 6787 137
924 6787 137
925 6787 137
926 6787 137
927 6787 137
928 6798 138
929 6798 138
930 6798 138
931 6798 138
932 6798 138
933 6798 138
934 6798 138
935 6798 138
936 6798 138
937 6798 138
938 6798 138
939 6798 138
940 6798 138
941 6798 138
942 6798 138
943 6798 138
944 6798 138
945 6798 138
946 6798 138
947 6798 138
948 6798 138
949 6798 138
950 6798 138
951 6798 138
952 6798 138
953 6798 138
954 6798 138
955 6798 138
956 6798 138
957 6798 138
958 6798 138
959 6798 138
960 6798 138
961 6798 138
962 6798 138
963 6798 138
964 6798 138
965 6798 138
966 6798 138
967 6798 138
968 6798 138
969 6798 138
970 6798 138
971 6798 138
972 6787 137
973 6787 137
974 6798 138
975 6798 138
976 6798 138
977 6798 138
978 6798 138
979 6798 138
980 6798 138
981 6798 138
982 6798 138
983 6798 138
984 6798 138
985 6798 138
986 6787 137
987 6787 137
988 6787 137
989 6787 137
990 6798 138
991 6798 138
992 6798 138
993 6787 137
994 6787 137
995 6787 137
996 6787 137
997 6787 137
998 6798 138
999 6688 128
1000 6688 128
1001 6798 138
1002 6798 138
1003 6798 138
1004 6798 138
1005 6787 137
1006 6787 137
1007 6787 137
1008 6787 137
1009 6787 137
1010 6787 137
1011 6787 137
1012 6787 137
1013 6787 137
1014 6787 137
1015 6787 137
1016 6787 137
1017 6787 137
1018 6787 137
1019 6787 137
1020 6787 137
1021 6787 137
1022 6787 137
1023 6787 137
1024 6787 137
1025 6787 137
1026 6787 137
1027 6787 137
1028 6787 137
1029 6787 137
1030 6787 137
1031 6787 137
1032 6787 137
1033 6787 137
1034 6787 137
1035 6787 137
1036 6787 137
1037 6787 137
1038 6787 137
1039 6787 137
1040 6776 136
1041 6776 136
1042 6776 136
1043 6765 135
1044 6765 135
1045 6776 136
1046 6776 136
1047 6776 136
1048 6776 136
1049 6776 136
1050 6787 137
1051 6787 137
1052 6776 136
1053 6776 136
1054 6776 136
1055 6765 135
1056 6765 135
1057 6765 135
1058 6765 135
1059 6765 135
1060 6765 135
1061 6765 135
1062 6765 135
1063 6765 135
1064 6765 135
1065 6776 136
1066 6776 136
1067 6765 135
1068 6776 136
1069 6776 136
1070 6765 135
1071 6765 135
1072 6765 135
1073 6765 135
1074 6765 135
1075 6765 135
1076 6765 135
1077 6765 135
1078 6765 135
1079 6765 135
1080 6765 135
1081 6765 135
1082 6754 134
1083 6754 134
1084 6754 134
1085 6754 134
1086 6754 134
1087 6754 134
1088 6754 134
1089 6754 134
1090 6754 134
1091 6754 134
1092 6754 134
1093 6754 134
1094 6754 134
1095 6754 134
1096 6754 134
1097 6754 134
1098 6754 134
1099 6754 134
1100 6743 133
1101 6743 133
1102 6743 133
1103 6732 132
1104 6743 133
1105 6743 133
1106 6732 132
1107 6732 132
1108 6732 132
1109 6732 132
1110 6732 132
1111 6732 132
1112 6732 132
1113 6732 132
1114 6732 132
1115 6732 132
1116 6732 132
1117 6732 132
1118 6721 131
1119 6721 131
1120 6721 131
1121 6721 131
1122 6721 131
1123 6721 131
1124 6721 131
1125 6721 131
1126 6721 131
1127 6721 131
1128 6721 131
1129 6721 131
1130 6721 131
1131 6721 131
1132 6710 130
1133 6710 130
1134 6721 131
1135 6710 130
1136 6710 130
1137 6710 130
1138 6699 129
1139 6699 129
1140 6699 129
1141 6699 129
1142 6699 129
1143 6699 129
1144 6699 129
1145 6699 129
1146 6699 129
1147 6699 129
1148 6699 129
1149 6699 129
1150 6699 129
1151 6699 129
1152 6699 129
1153 6699 129
1154 6699 129
1155 6688 128
1156 6688 128
1157 6688 128
1158 6677 127
1159 6677 127
1160 6677 127
1161 6677 127
1162 6677 127
1163 6677 127
1164 6677 127
1165 6677 127
1166 6666 126
1167 6666 126
1168 6666 126
1169 6666 126
1170 6666 126
1171 6666 126
1172 6655 125
1173 6655 125
1174 6655 125
1175 6655 125
1176 6655 125
1177 6655 125
1178 6644 124
1179 6644 124
1180 6644 124
1181 6633 123
1182 6644 124
1183 6644 124
1184 6644 124
1185 6644 124
1186 6633 123
1187 6633 123
1188 6633 123
1189 6633 123
1190 6611 121
1191 6611 121
1192 6611 121
1193 6611 121
1194 6600 120
1195 6600 120
1196 6600 120
1197 6600 120
1198 6611 121
1199 6622 122
788 7344 132
789 7344 132
790 7344 132
793 7356 133
794 7356 133
795 7356 133
796 7356 133
797 7356 133
798 7356 133
799 7368 134
800 7368 134
801 7368 134
803 7380 135
804 7380 135
805 7380 135
806 7380 135
807 7380 135
808 7380 135
809 7380 135
810 7380 135
811 7380 135
812 7380 135
813 7380 135
814 7380 135
815 7380 135
816 7380 135
817 7380 135
818 7380 135
819 7380 135
820 7380 135
821 7380 135
822 7392 136
823 7392 136
824 7392 136
825 7392 136
826 7392 136
827 7392 136
828 7392 136
829 7404 137
830 7404 137
831 7404 137
832 7404 137
833 7404 137
834 7404 137
835 7404 137
836 7404 137
837 7404 137
838 7416 138
839 7416 138
840 7416 138
841 7416 138
842 7416 138
843 7416 138
844 7416 138
845 7416 138
846 7428 139
847 7428 139
848 7428 139
849 7428 139
850 7428 139
851 7428 139
852 7440 140
853 7440 140
854 7440 140
855 7440 140
856 7440 140
857 7440 140
858 7440 140
859 7428 139
860 7428 139
861 7440 140
862 7440 140
863 7440 140
864 7440 140
865 7440 140
866 7440 140
867 7440 140
868 7440 140
869 7440 140
870 7440 140
871 7440 140
872 7440 140
873 7440 140
874 7440 140
875 7440 140
876 7440 140
877 7440 140
878 7440 140
879 7452 141
880 7452 141
881 7452 141
882 7452 141
883 7452 141
884 7452 141
885 7452 141
886 7452 141
887 7452 141
888 7452 141
889 7440 140
890 7440 140
891 7452 141
892 7452 141
893 7452 141
894 7452 141
895 7452 141
896 7452 141
897 7452 141
898 7452 141
899 7452 141
900 7356 133
901 7368 134
902 7452 141
903 7464 142
904 7452 141
905 7452 141
906 7464 142
907 7452 141
908 7452 141
909 7464 142
910 7464 142
911 7464 142
912 7464 142
913 7452 141
914 7452 141
915 7464 142
916 7464 142
917 7464 142
918 7464 142
919 7464 142
